epoch,loss,val_loss
0,3.978856027488808,nan
1,3.109858419458106,nan
2,2.8903232190424624,nan
3,2.7571289986069916,nan
4,2.652379907044058,nan
5,2.5588423953759234,nan
6,2.469479640393957,nan
7,2.38355758395224,nan
8,2.3022208538326083,nan
9,2.225599143458835,nan
10,2.153618841698782,nan
11,2.084874267064417,nan
12,2.018285731664437,nan
13,1.953021124760517,nan
14,1.889659909245038,nan
15,1.8270743352380172,nan
16,1.7644606603251793,nan
17,1.702539915352188,nan
18,1.641048913653816,nan
19,1.5797109547263466,nan
20,1.5203179840485048,nan
21,1.461950779064752,nan
22,1.4051475131335618,nan
23,1.3504719040271616,nan
24,1.2986109734202964,nan
25,1.2487624122410832,nan
26,1.2007872682531917,nan
27,1.1558345491009936,nan
28,1.1122540012498265,nan
29,1.0718351625684996,nan
30,1.0325072857217101,nan
31,0.9955022024341919,nan
32,0.9603837924248027,nan
33,0.9285494626655877,nan
34,0.8969205615833259,nan
35,0.8669725224621704,nan
36,0.8390048565189285,nan
37,0.8122813743057715,nan
38,0.7874486374917183,nan
39,0.762705485526631,nan
40,0.7407806613740112,nan
41,0.7187258176033027,nan
42,0.6980092891430185,nan
43,0.6798117476513584,nan
44,0.6607907362823862,nan
45,0.6431424935900436,nan
46,0.6260640021686515,nan
47,0.6110727927010197,nan
48,0.5959534068885072,nan
49,0.581888067818986,nan
50,0.5685940104189591,nan
51,0.5542749239850866,nan
52,0.540250898425972,nan
53,0.5295579070255026,nan
54,0.5202506760687128,nan
55,0.5077868445417414,nan
56,0.4971335941799958,nan
57,0.4874949715395026,nan
58,0.4782631031644541,nan
59,0.46825934847713796,nan
60,0.4599821669897272,nan
61,0.45211863486690174,nan
62,0.44420236324939455,nan
63,0.43588964480991954,nan
64,0.4285296231223437,nan
65,0.4204130432518054,nan
66,0.41666266285023273,nan
67,0.4083551453432414,nan
68,0.4015403310699529,nan
69,0.3968752233439378,nan
70,0.3908304074019099,nan
71,0.3849757780657276,nan
72,0.3785717158586158,nan
73,0.3748521413486866,nan
74,0.3705841260580543,nan
75,0.3636412932377016,nan
76,0.3592891611381092,nan
77,0.35730538466098927,nan
78,0.35128384474702684,nan
79,0.3469719261906301,nan
80,0.344200932596374,nan
81,0.34040416510872246,nan
82,0.3364006819550348,nan
83,0.3312000449139451,nan
84,0.3279031450390091,nan
85,0.32620157055015186,nan
86,0.32519278100287435,nan
87,0.31965419402372447,nan
88,0.3159304414491463,nan
89,0.312383732017558,nan
90,0.3119942591202767,nan
91,0.3080410570501763,nan
92,0.30381475852048817,nan
93,0.30207474177173005,nan
94,0.30071198733136717,nan
95,0.29809718546472425,nan
96,0.2951374617808458,nan
97,0.2947089258325711,nan
98,0.29147445892307194,nan
99,0.28933050683916667,nan
